Provinsi/Kabupaten/Kota,,,,,,,
,[Metode Baru] Indeks Pembangunan Manusia,,,,,,
Tulang Bawang Barat,67.13,67.81,,,,,
Pesisir Barat,65.14,66,,,,,
Kota Bandar Lampung,78.01,78.56,,,,,
Kota Metro,77.89,78.36,,,,,
KEP. BANGKA BELITUNG,72.24,72.85,,,,,
Bangka,72.95,73.66,,,,,
Belitung,73.38,74.02,,,,,
Bangka Barat,70.12,70.45,,,,,
Bangka Tengah,71.4,71.71,,,,,
Bangka Selatan,67.95,68.51,,,,,
Belitung Timur,72.29,72.86,,,,,
Kota Pangkal Pinang,79.24,79.93,,,,,
KEPULAUAN RIAU,76.46,77.11,,,,,
Karimun,72.65,73.51,,,,,
Bintan,74.99,75.7,,,,,
Natuna,73.47,74.21,,,,,
Lingga,66.57,67.44,,,,,
Kepulauan Anambas,69.61,70.26,,,,,
Kota Batam,81.67,82.11,,,,,
Kota Tanjung Pinang,79.64,80.23,,,,,
DKI JAKARTA,81.65,82.46,,,,,
Kep. Seribu,72.79,73.39,,,,,
Kota Jakarta Selatan,85.21,86.07,,,,,
Kota Jakarta Timur,83.45,84.13,,,,,
Kota Jakarta Pusat,82.11,82.53,,,,,
Kota Jakarta Barat,82.51,83.02,,,,,
Kota Jakarta Utara,80.81,81.11,,,,,
JAWA BARAT,73.12,73.74,,,,,
Bogor,71.2,71.78,,,,,
Sukabumi,67.64,68.49,,,,,
Cianjur,65.94,66.55,,,,,
Bandung,73.16,73.74,,,,,
Garut,67.41,68.11,,,,,
Tasikmalaya,66.84,67.76,,,,,
Ciamis,71.45,72.05,,,,,
Kuningan,70.16,70.72,,,,,
Cirebon,70.06,70.95,,,,,
Majalengka,68.56,69.13,,,,,
Sumedang,72.69,73.18,,,,,
Indramayu,68.55,69.25,,,,,
Subang,69.87,70.7,,,,,
Purwakarta,71.56,72.09,,,,,
Karawang,71.74,72.35,,,,,
Bekasi,75.22,75.76,,,,,
Bandung Barat,69.04,69.61,,,,,
Pangandaran,69.03,69.38,,,,,
Kota Bogor,77.17,77.85,,,,,
Kota Sukabumi,75.4,76.32,,,,,
Kota Bandung,82.5,83.04,,,,,
